id,name,location,rating,image,type,latlong,required_time,activities,description
62,Ghandruk,"12 km north of Nayapul, Kaski district",4.3,p62.jpg,Natural,"28.390941645707606, 83.80575558734456",2,"Trekking, Cultural Tours","Ghandruk is a Gurung village in Nepal's Annapurna region, a frequent stop on the Annapurna Circuit trek.  It offers stunning views of Annapurna and Machapuchare mountains.  Visitors can experience Gurung culture, explore local trails, and appreciate the traditional stone architecture.  It's ideal for trekkers seeking cultural immersion and scenic mountain views."
63,Koshi Tappu Wildlife Reserve,"5 km south of Kusaha, in Sunsari district",4.4,p63.jpg,"Natural, Wildlife","26.651690310344264, 87.00068552308426",7,"Bird Watching, Wildlife Viewing","Koshi Tappu Wildlife Reserve, located in eastern Nepal, is a biodiverse haven featuring wetlands, grasslands, and riverine forests.  It's renowned for its population of wild water buffalo and over 400 bird species, making it ideal for wildlife enthusiasts and birdwatchers.  Guided tours are available for exploring this ecologically significant area."
64,Koshi Barrage,"4 km south of Kusaha, near Koshi Bridge",3.5,p64.jpg,Natural,"26.526401466161683, 86.92700099609368",2,"Fishing, Bird Watching","Koshi Barrage, located in eastern Nepal, is a crucial infrastructure project on the Koshi River.  It regulates water flow for irrigation and flood control, featuring a system of gates and channels.  Visitors can enjoy scenic views of the river and surrounding landscape.  Its significance lies in its support of agriculture and protection of local communities."
65,Bardia National Park,"In Bardiya district, 15 km south of Thakurdwara",4.6,p65.jpg,"Natural, Wildlife","28.365062631018723, 81.55958905196998",6,"Jungle Safari, Bird Watching","Bardia National Park, in southwest Nepal, offers diverse wildlife viewing opportunities, particularly for Bengal tigers, one-horned rhinoceroses, and elephants.  Its landscape encompasses forests, grasslands, and rivers.  Activities include jungle safaris, birdwatching, and nature walks. This park is ideal for wildlife enthusiasts and nature lovers. "
66,Makalu Barun National Park,"In Sankhuwasabha district, 40 km north of Num Bazaar",4.4,p66.jpg,"Natural, Wildlife","27.660573251369122, 87.10229259427791",3,"Trekking, Wildlife Viewing","Makalu Barun National Park, in eastern Nepal, offers stunning landscapes dominated by Makalu, the world's fifth-highest peak.  The park boasts diverse ecosystems, ranging from subtropical forests to alpine meadows, supporting rich biodiversity including red pandas and snow leopards.  Popular activities include trekking and mountaineering, allowing visitors to immerse themselves in the park's natural beauty."
67,Parsa Wildlife Reserve,"8 km south of Birgunj, in Parsa district",4.2,p67.jpg,"Natural, Wildlife","27.476124100268603, 84.79417690961449",2,"Bird Watching, Wildlife Viewing","Parsa Wildlife Reserve, located in southeastern Nepal, offers diverse habitats of forests, grasslands, and wetlands.  It's home to notable wildlife including Bengal tigers, sloth bears, and deer. Guided tours and wildlife viewing are popular activities.  The reserve provides an immersive nature experience and wildlife observation opportunity."
68,Shey Phoksundo Lake,"In Dolpo district, 20 km north of Ringmo Village",4.6,p68.jpg,Natural,"29.1841313381771, 82.94170800210667",2,"Trekking, Boating","Shey Phoksundo Lake is the largest lake in the Nepalese Himalayas, located in Dolpa District, and renowned for its vibrant blue color and surrounding mountain scenery.  This sacred site for local Buddhists offers trekking opportunities, exploration of nearby villages, and immersion in a serene alpine environment.  It's ideal for travelers seeking a combination of natural beauty and cultural experience."
69,Poon Hill,"10 km north of Ghorepani, Myagdi district",4.5,p69.jpg,Natural,"28.40072426637675, 83.68929853999043",4,"Trekking, Sunrise Views","Poon Hill in Nepal's Annapurna region offers a moderate trek to a viewpoint famous for panoramic sunrise views of the Annapurna and Dhaulagiri ranges.  Trekkers are rewarded with stunning vistas of snow-capped peaks and rhododendron forests.  The trek also passes through charming Gurung villages, adding a cultural element to the experience.  It's an ideal destination for those seeking breathtaking mountain scenery without needing highly advanced trekking skills. "
70,Tansen,"In Palpa district, 4 km south of Tansen Bazaar",3.5,p70.jpg,"Cultural, Historic","27.86364060716307, 83.54408903385499",3,"Exploring, Cultural Tours","Tansen, a historic town in Nepal's Palpa District, boasts traditional Newari architecture and ancient temples.  It offers stunning Himalayan views and a rich history as a former trade center.  Key attractions include the Tansen Durbar Square, showcasing historic buildings and temples.  The town provides a blend of cultural immersion and scenic beauty ideal for travelers."
71,Rani Mahal,"5 km southwest of Tansen Bazaar, near the Kaligandaki River",4.4,p71.jpg,Historic,"28.035855082986686, 83.54430296279571",3,"Exploring, Historical Tours","Rani Mahal, also known as the Queen's Palace, is a 19th-century palace located in Tansen, Nepal, built by the King of Palpa.  It showcases beautiful architecture and intricate carvings, offering visitors a glimpse into the region's royal history.  The palace features explorable rooms, courtyards, and gardens.  It's a significant cultural landmark representing the region's grandeur and heritage."
72,Palpa Durbar,"In central Tansen, Palpa district",3.3,p72.jpg,"Historic, Cultural","27.867561537686097, 83.54530016729699",10,"Exploring, Historical Tours","Tansen Durbar is a historic palace in Tansen, Nepal, showcasing traditional Newari architecture.  Once the residence of local rulers, it holds significant historical importance for the region.  Visitors can explore the palace grounds and learn about its history and cultural legacy.  It's a key attraction for those interested in Nepali culture and architecture."
73,Tilicho Lake,"55 km northeast of Jomsom, in Manang district",4.6,p73.jpg,Natural,"28.684047489282026, 83.85705317820684",8,"Trekking, Camping","Tilicho Lake is a high-altitude (4,919m) lake in Nepal's Annapurna region, known as one of the world's highest.  It offers stunning turquoise waters and dramatic mountain views, making it a popular destination for challenging treks. The rewarding trek provides breathtaking scenery of peaks and glaciers, ideal for adventurous travelers seeking a remote alpine experience."
